micrograph_no,brief_description,keywords,categories,system,composition,standard_codes,reaction,processing,applications,sample_preparation,technique,length_bar,further_information,contributor,organisation,image_url,image_local_path,page_url
1,"Al 75, Cu 25 (wt%), hypoeutectic alloy","alloy , aluminium , copper, dendrite , hypoeutectic , lamella , metal",Metal or alloy,Al-Cu,"Al 75, Cu 25 (wt%)",,,Sand cast,,Etched in sodium hydroxide solution,Reflected light microscopy,40 μm,"The micrograph shows primary Al dendrite arms (white). The dendrite trunk has been intersected at an angle by the plane of polishing to give the observed morphology. Between the dendrites is the Al - CuAl2 eutectic. Initially dendrites would have formed from the liquid, the regions between the dendrite arms known as the mushy zone transforming to a eutectic solid (L to Al + CuAl2). These two phases form cooperatively as neighbouring lamellae with the lateral diffusion of material across the growing interface. The relative amounts of the two phases (Al and CuAl2 ) within the eutectic are determined by applying the Lever Rule at the eutectic temperature.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000001.jpg,./miclib_output/images/000001.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=1
2,"Al 75, Cu 25 (wt%), hypoeutectic alloy","alloy , aluminium , copper, dendrite , hypoeutectic , lamella , metal",Metal or alloy,Al-Cu,"Al 75, Cu 25 (wt%)",,,Sand cast,,Etched in sodium hydroxide solution,Scanning electron microscopy (SEM),30 μm,This is a secondary electron micrograph of the hypereuctectic alloy showing the Al dendrites and the Al-CuAl2 eutectic in greater detail. It is clear that the lamellar eutectic has been significantly distorted by the presence of the primary Al dendrites. Around the dendrites there is a layer of CuAl2.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000002.jpg,./miclib_output/images/000002.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=2
3,"Al 67, Cu 33 (wt%), eutectic alloy","alloy , aluminium , copper, eutectic , lamella , metal",Metal or alloy,Al-Cu,"Al 67, Cu 33 (wt%)",,,Unidirectionally solidified,,Etched in sodium hydroxide solution,Reflected light microscopy,80 μm,This alloy is of the eutectic composition and has solidified with a lamellae eutectic structure. The Al and q phases form co-operatively. The eutectic lamellae grows in the principal direction of heat flow; the lamellae structure is stabilised by the high temperature gradient. In the lower part of the micrograph the lamellae structure breaks down.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000003.jpg,./miclib_output/images/000003.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=3
4,"Al 67, Cu 33 (wt%), eutectic alloy","alloy , aluminium , copper, eutectic , lamella , metal",Metal or alloy,Al-Cu,"Al 67, Cu 33 (wt%)",,,Unidirectionally solidified,,Etched in sodium hydroxide solution,Scanning electron microscopy (SEM),15 μm,"This SEM image shows the lamellar eutectic very clearly. The interlamellar spacing is about one micron. There are several imperfections in the lamellar structure, which have arisen from irregularities and disturbances during growth.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000004.jpg,./miclib_output/images/000004.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=4
5,"Al 64, Cu 36 (wt%), hypereutectic alloy","alloy , aluminium , copper, dendrite , hypereutectic , metal",Metal or alloy,Al-Cu,"Al 64, Cu 36 (wt%)",,,Sand cast,,Etched in sodium hydroxide solution,Reflected light microscopy,400 μm,"When the composition of the alloy exceeds the eutectic, as in this hypereutectic sample, the initial dendrites that form are of CuAl2. The remaining liquid transforms to the eutectic at the eutectic temperature.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000005.jpg,./miclib_output/images/000005.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=5
6,"Bi 60, Cd 40 (wt%), eutectic alloy","alloy , bismuth, cadmium, eutectic , lamella , metal",Metal or alloy,Bi-Cd,"Bi 60, Cd 40 (wt%)",,,Slowly cooled,,Etched in alcoholic FeCl3,Reflected light microscopy,200 μm,This sample has the eutectic composition so all the liquid solidifies at the eutectic temperature to form a lamellar eutectic structure. The two phases grow co-operatively from the melt.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000006.jpg,./miclib_output/images/000006.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=6
7,"Bi 60, Cd 40 (wt%), eutectic alloy","alloy , bismuth, cadmium, eutectic , lamella , metal",Metal or alloy,Bi-Cd,"Bi 60, Cd 40 (wt%)",,,Slowly cooled,,Etched in alcoholic FeCl3,Reflected light microscopy,40 μm,This sample has the eutectic composition so all the liquid solidifies at the eutectic temperature to form a lamellar eutectic structure. The two phases grow co-operatively from the melt.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000007.jpg,./miclib_output/images/000007.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=7
8,"Bi 80, Cd 20 (wt%), hypereutectic alloy","alloy , bismuth, cadmium, dendrite , facet , hypereutectic , metal",Metal or alloy,Bi-Cd,"Bi 80, Cd 20 (wt%)",,,Slowly cooled from liquid,,Etched in alcoholic FeCl3,Reflected light microscopy,400 μm,The high proportion of Bi in this sample results in predominantly Bi dendrites with some interdendritic eutectic. The primary Bi dendrites are strongly facetted (white blocks) indicating the importance of crystallographic orientation upon growth.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000008.jpg,./miclib_output/images/000008.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=8
9,"Bi 80, Cd 20 (wt%), hypereutectic alloy","alloy , bismuth, cadmium, dendrite , facet , hypereutectic , metal",Metal or alloy,Bi-Cd,"Bi 80, Cd 20 (wt%)",,,Slowly cooled from liquid,,Etched in alcoholic FeCl3,Reflected light microscopy,80 μm,The high proportion of Bi in this sample results in predominantly Bi dendrites with some interdendritic eutectic. The primary Bi dendrites are strongly facetted (white blocks) indicating the importance of crystallographic orientation upon growth.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000009.jpg,./miclib_output/images/000009.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=9
10,"Cu 70, Ni 30 (wt%), cored dendrites","alloy , copper, coring , dendrite , metal, nickel, partition coefficient",Metal or alloy,Cu-Ni,"Cu 70, Ni 30 (wt%)",,,Chill cast,,Etched in NH4OH/H2O2,Reflected light microscopy,400 μm,"This alloy is typical of many copper based alloy systems. The dendrite structure shows coring (variation in solute concentration). The light areas are rich in nickel and the darker areas are low in nickel. Chill casting extracts heat quickly enough to prevent significant solid state diffusion, resulting in cored dendrites. The centres of the dendrites that cool near the liquidus temperature, are nickel rich compared to the outer layers that solidify at progressively lower temperatures. Because the partition coefficient is positive the outer layers solidify with progressively lower nickel concentrations. The observed pattern results from the intersection of the plane of polish and the randomly orientated regions of equal solute concentration.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000010.jpg,./miclib_output/images/000010.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=10
